0,-1,0,0,-1
1,99,4,10,1
1,21,4,10,2
1,94,4,10,3
1,36,4,10,5
2,57,5,9,6
2,25,5,9,7
3,41,5,17,8
3,34,5,17,9
3,90,5,17,10
5,21,6,16,21
5,53,6,16,2
5,39,6,16,3
5,94,6,16,3
9,61,0,19,5
10,42,6,8,6
10,62,6,8,6
10,96,6,8,8
10,3,6,8,9
10,31,6,8,10
10,49,6,8,49
10,98,6,8,2
11,61,1,19,3
13,0,6,17,3
13,64,6,17,4
14,52,3,15,6
14,30,3,15,7
14,89,3,15,7
15,28,3,11,9
18,68,4,20,10
18,87,4,20,87
18,53,4,20,1
18,92,4,20,3
18,96,4,20,4
19,80,5,17,5
19,41,5,17,6
20,42,6,17,6
22,39,1,8,8
22,42,1,8,9
22,92,1,8,10
23,96,1,18,96
23,14,1,18,2
26,70,0,16,2
26,42,0,16,4
26,44,0,16,4
26,34,0,16,5
26,96,0,16,7
27,21,6,20,8
27,96,6,20,9
27,25,6,20,10
27,35,6,20,35
27,57,6,20,2
27,79,6,20,3
28,37,3,13,4
28,95,3,13,5
28,94,3,13,6
29,83,5,12,7
29,21,5,12,8
31,38,6,15,9
31,34,6,15,10
31,62,6,15,62
31,5,6,15,2
32,21,1,19,3
32,30,1,19,4
32,99,1,19,5
32,5,1,19,5
32,54,1,19,7
36,28,6,18,8
36,98,6,18,8
36,97,6,18,10
36,92,6,18,92
38,32,6,16,2
38,56,6,16,2
39,97,5,18,3
39,3,5,18,4
39,55,5,18,6
39,34,5,18,6
40,64,1,15,8
41,50,2,11,9
42,63,0,20,9
42,21,0,20,21
46,6,0,18,2
47,24,5,0,3
47,73,5,0,4
47,83,5,0,5
50,4,1,13,6
52,42,3,10,7
52,99,3,10,8
53,42,4,20,9
53,71,4,20,10
53,94,4,20,94
53,76,4,20,2
53,9,4,20,3
53,73,4,20,3
53,95,4,20,4
54,42,3,15,5
55,81,4,14,7
55,9,4,14,8
55,53,4,14,8
55,21,4,14,10
55,59,4,14,59
55,14,4,14,2
55,19,4,14,2
55,79,4,14,4
56,4,0,12,4
56,43,0,12,6
56,19,0,12,7
56,15,0,12,8
56,94,0,12,9
56,34,0,12,10
57,34,6,8,34
57,31,6,8,1
57,82,6,8,2
57,27,6,8,3
57,94,6,8,4
58,37,3,8,6
58,21,3,8,7
58,46,3,8,8
58,80,3,8,8
60,21,0,10,10
60,71,0,10,71
60,53,0,10,2
60,38,0,10,3
60,25,0,10,4
61,80,1,9,5
62,45,0,11,5
62,96,0,11,6
62,29,0,11,7
66,72,0,15,9
67,21,3,12,10
68,16,3,10,16
68,0,3,10,2
69,52,3,12,3
69,20,3,12,3
71,94,1,13,5
71,9,1,13,6
71,62,1,13,7
71,45,1,13,8
71,87,1,13,9
72,55,1,19,10
72,42,1,19,42
73,34,0,12,2
74,90,5,21,3
75,73,5,19,3
75,32,5,19,4
75,20,5,19,5
77,40,1,11,7
77,12,1,11,8
77,68,1,11,8
77,95,1,11,10
77,22,1,11,22
77,38,1,11,1
77,59,1,11,2
78,24,2,15,3
79,2,6,15,5
80,52,3,13,6
80,42,3,13,7
80,46,3,13,7
81,41,4,14,9
81,94,4,14,10
81,31,4,14,31
81,75,4,14,1
82,24,1,13,2
82,71,1,13,4
83,21,6,20,5
83,83,6,20,5
83,3,6,20,6
84,56,2,16,8
85,24,5,11,9
87,24,1,15,10
88,32,0,11,32
88,95,0,11,2
88,42,0,11,3
88,31,0,11,4
88,84,0,11,5
88,96,0,11,5
88,99,0,11,6
89,25,0,15,8
89,9,0,15,9
90,80,2,16,10
92,34,6,9,34
92,75,6,9,2
92,31,6,9,2
92,42,6,9,4
92,46,6,9,4
92,98,6,9,6
93,39,6,10,7
93,21,6,10,7
93,58,6,10,9
94,69,3,16,10
94,19,3,16,19
95,36,5,7,2
95,75,5,7,3
95,31,5,7,4
95,96,5,7,5
95,99,5,7,6
96,59,6,20,6
96,76,6,20,8
96,53,6,20,9
96,73,6,20,10
98,21,3,8,21
98,70,3,8,2
98,53,3,8,3
98,50,3,8,4
98,43,3,8,5
98,66,3,8,6
98,38,3,8,7
98,88,3,8,8
100,28,2,13,8
100,0,2,13,9
101,32,3,15,32
101,95,3,15,1
102,58,3,16,3
102,53,3,16,3
102,48,3,16,4
104,46,5,18,6
105,21,4,10,7
105,5,4,10,8
105,55,4,10,9
105,2,4,10,10
106,2,0,18,2
106,93,0,18,2
106,40,0,18,3
106,35,0,18,4
106,29,0,18,5
107,59,3,20,6
110,9,0,15,6
110,70,0,15,7
110,42,0,15,8
110,68,0,15,9
110,29,0,15,29
111,24,3,17,2
111,99,3,17,3
112,48,5,14,4
112,94,5,14,4
112,9,5,14,6
113,34,3,12,6
116,48,6,18,8
119,85,4,11,8
119,61,4,11,9
120,46,6,8,46
120,55,6,8,1
122,25,2,1,2
123,87,5,12,4
123,17,5,12,5
123,36,5,12,6
123,46,5,12,7
123,71,5,12,8
125,36,6,12,9
125,60,6,12,10
125,21,6,12,21
125,98,6,12,2
125,84,6,12,3
125,86,6,12,4
126,44,3,15,5
126,94,3,15,5
127,24,6,11,7
127,15,6,11,8
128,40,1,14,9
128,21,1,14,10
128,80,1,14,80
129,21,4,18,1
129,79,4,18,2
129,52,4,18,4
130,42,0,15,4
130,27,0,15,5
130,67,0,15,6
130,69,0,15,7
131,9,3,10,9
131,43,3,10,10
131,62,3,10,62
131,66,3,10,2
131,88,3,10,3
131,38,3,10,4
131,76,3,10,5
133,97,2,9,6
134,84,1,8,6
135,34,2,12,8
136,96,6,10,8
136,26,6,10,9
138,38,0,16,38
139,38,6,18,2
139,34,6,18,3
139,65,6,18,4
141,39,4,10,5
143,95,0,16,6
143,42,0,16,7
143,3,0,16,8
143,14,0,16,9
143,89,0,16,10
143,41,0,16,41
144,13,3,15,1
144,25,3,15,3
146,83,5,16,4
146,28,5,16,5
146,24,5,16,6
147,35,0,12,6
147,40,0,12,8
147,3,0,12,9
147,25,0,12,9
148,70,2,17,70
148,34,2,17,2
148,94,2,17,3
152,21,1,10,4
154,60,6,19,4
155,18,2,12,6
157,73,6,17,7
158,53,1,15,8
158,99,1,15,9
158,42,1,15,10
158,94,1,15,94
159,32,4,13,1
159,59,4,13,3
160,31,4,23,4
162,96,1,9,5
162,48,1,9,5
162,88,1,9,7
163,32,2,14,8
163,59,2,14,9
163,65,2,14,10
163,74,2,14,74
163,21,2,14,2
163,53,2,14,3
163,45,2,14,4
163,5,2,14,5
163,19,2,14,6
163,60,2,14,7
164,95,1,10,8
164,57,1,10,9
165,51,2,11,10
165,95,2,11,95
168,50,5,15,1
169,34,0,9,2
169,89,0,9,4
170,21,0,13,5
170,6,0,13,6
170,31,0,13,6
170,25,0,13,7
174,42,5,9,9
174,84,5,9,10
174,55,5,9,55
174,43,5,9,2
174,48,5,9,3
175,42,4,18,4
175,53,4,18,4
176,9,1,17,6
176,37,1,17,6
176,38,1,17,7
176,14,1,17,9
177,34,2,16,10
177,15,2,16,15
177,83,2,16,2
177,65,2,16,2
177,42,2,16,4
178,98,3,11,5
179,32,6,18,6
180,51,6,19,7
180,62,6,19,8
180,9,6,19,9
180,46,6,19,10
180,37,6,19,37
180,21,6,19,1
180,35,6,19,3
180,94,6,19,4
181,30,0,16,4
181,42,0,16,6
184,42,0,19,7
184,24,0,19,8
185,43,3,1,9
185,19,3,1,9
186,10,0,16,10
187,42,5,16,2
187,24,5,16,3
187,6,5,16,4
188,97,6,11,4
189,28,3,16,6
190,34,1,13,6
190,24,1,13,7
190,1,1,13,8
192,9,5,14,10
192,11,5,14,11
193,21,0,11,2
195,21,0,16,3
195,4,0,16,4
195,24,0,16,5
195,99,0,16,6
196,31,0,16,6
196,41,0,16,8
197,31,5,20,9
197,28,5,20,10
198,63,1,9,63
198,42,1,9,2
199,21,3,10,2
199,6,3,10,3
200,0,5,22,5
200,28,5,22,5
201,3,0,15,6
205,8,4,14,8
206,95,0,9,8
206,75,0,9,10
206,78,0,9,78
208,42,4,13,2
208,89,4,13,3
210,95,2,22,4
210,97,2,22,4
210,89,2,22,5
210,48,2,22,7
211,24,2,14,7
212,31,1,6,9
213,49,3,18,10
213,15,3,18,15
213,34,3,18,2
213,42,3,18,3
214,13,0,16,3
214,42,0,16,5
214,44,0,16,6
